2016-Jan-25 01:55:08 INFO  clientLogger:23 - Attempting to connect to 127.0.0.1:3001
@2016-Jan-25 10:19:09 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:19:09 INFO  clientLogger:269 - 
@2016-Jan-25 10:19:09 INFO  clientLogger:240 - Message from server: There is still more rounds to play 6
@2016-Jan-25 10:19:09 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:19:09 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:19:09 INFO  clientLogger:269 - 
@2016-Jan-25 10:19:09 INFO  clientLogger:240 - Message from server: There is still more rounds to play 6
@2016-Jan-25 10:20:19 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 6
@2016-Jan-25 10:20:19 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe swing 3 charge 1
@2016-Jan-25 10:20:19 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:20:19 INFO  clientLogger:269 - 
@2016-Jan-25 10:20:40 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 6
@2016-Jan-25 10:20:40 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe swing 3 charge 1
@2016-Jan-25 10:20:40 INFO  clientLogger:269 - 
@2016-Jan-25 10:20:40 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 3 charge 1
@2016-Jan-25 10:20:40 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 3 charge 1
@2016-Jan-25 10:20:40 INFO  clientLogger:269 - 
@2016-Jan-25 10:20:40 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:20:40 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:20:49 INFO  clientLogger:167 - Client sends this message to the server: roll fred 4
@2016-Jan-25 10:20:49 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 4
@2016-Jan-25 10:20:49 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:20:54 INFO  clientLogger:167 - Client sends this message to the server: roll joe 5
@2016-Jan-25 10:20:54 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 5
@2016-Jan-25 10:20:54 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 4
@2016-Jan-25 10:20:54 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 5
@2016-Jan-25 10:20:54 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:20:54 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:20:54 INFO  clientLogger:269 - 
@2016-Jan-25 10:20:54 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:20:54 INFO  clientLogger:240 - Message from server: There is still more rounds to play 7
@2016-Jan-25 10:20:54 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:20:54 INFO  clientLogger:269 - 
@2016-Jan-25 10:20:54 INFO  clientLogger:240 - Message from server: There is still more rounds to play 7
@2016-Jan-25 10:21:17 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 7
@2016-Jan-25 10:21:17 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 1 dodge 3
@2016-Jan-25 10:21:17 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:21:17 INFO  clientLogger:269 - 
@2016-Jan-25 10:21:44 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 7
@2016-Jan-25 10:21:44 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 1 dodge 3
@2016-Jan-25 10:21:44 INFO  clientLogger:269 - 
@2016-Jan-25 10:21:44 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 1 charge 3
@2016-Jan-25 10:21:44 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 1 charge 3
@2016-Jan-25 10:21:44 INFO  clientLogger:269 - 
@2016-Jan-25 10:21:44 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:21:44 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:21:50 INFO  clientLogger:167 - Client sends this message to the server: roll fred 1
@2016-Jan-25 10:21:50 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:21:50 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:21:54 INFO  clientLogger:167 - Client sends this message to the server: roll joe 4
@2016-Jan-25 10:21:54 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 4
@2016-Jan-25 10:21:54 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:21:54 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 4
@2016-Jan-25 10:21:54 INFO  clientLogger:220 - Message from server: OUTCOME [joe got 2 hit, fred got 2 hit]
@2016-Jan-25 10:21:54 INFO  clientLogger:227 - For this round the total casualty was: [joe got 2 hit, fred got 2 hit]
@2016-Jan-25 10:21:54 INFO  clientLogger:269 - 
@2016-Jan-25 10:21:54 INFO  clientLogger:257 - Message from server: Rounds is done
@2016-Jan-25 10:21:54 INFO  clientLogger:264 - Message sent to the server: game done
@2016-Jan-25 10:21:54 INFO  clientLogger:220 - Message from server: OUTCOME [joe got 2 hit, fred got 2 hit]
@2016-Jan-25 10:21:54 INFO  clientLogger:227 - For this round the total casualty was: [joe got 2 hit, fred got 2 hit]
@2016-Jan-25 10:21:54 INFO  clientLogger:269 - 
@2016-Jan-25 10:21:54 INFO  clientLogger:257 - Message from server: Rounds is done
@2016-Jan-25 10:21:54 INFO  clientLogger:264 - Message sent to the server: game done
@2016-Jan-25 10:21:54 INFO  clientLogger:128 - 49220Good bye. Press RETURN to exit ...
@2016-Jan-25 10:21:54 INFO  clientLogger:128 - 49221Good bye. Press RETURN to exit ...
@2016-Jan-25 10:22:29 INFO  clientLogger:54 - jack: Establishing connection. Please wait ...
@2016-Jan-25 10:22:29 INFO  clientLogger:61 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=
@2016-Jan-25 10:22:29 INFO  clientLogger:63 - WELCOME TO GAME OF THE SURVIVAL OF THE FITTEST
@2016-Jan-25 10:22:29 INFO  clientLogger:65 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=

@2016-Jan-25 10:22:29 INFO  clientLogger:68 - jack: Connected to server: localhost/127.0.0.1
@2016-Jan-25 10:22:29 INFO  clientLogger:70 - jack: Connected to portid: 49239
@2016-Jan-25 10:22:29 INFO  clientLogger:122 - 
49239: Client Started...

@2016-Jan-25 10:22:29 INFO  clientLogger:74 - Client sent to server: join jack 127.0.0.1
@2016-Jan-25 10:22:29 INFO  clientLogger:269 - Player 49239 broadcasted: join jack 127.0.0.1
@2016-Jan-25 10:22:29 INFO  clientLogger:269 - Server sent: startGame 3 Players 3 rounds
@2016-Jan-25 10:22:29 INFO  clientLogger:141 - Message from the server: WAITING FOR MORE PLAYERS
@2016-Jan-25 10:22:48 INFO  clientLogger:54 - joe: Establishing connection. Please wait ...
@2016-Jan-25 10:22:48 INFO  clientLogger:61 - =#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=#=
@2016-Jan-25 10:22:48 INFO  clientLogger:63 - WELCOME TO GAME OF THE SURVIVAL OF THE FITTEST
